EventId,Label
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E2', 'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E2', 'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E2', 'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E2', 'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E2', 'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E2', 'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E2', 'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E2', 'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
"{'E5', 'E22', 'E7'}",Anomaly
"{'E26', 'E11', 'E9', 'E22', 'E5'}",Normal
